advance_on_docket_motions; appeals; ; n:m; A.appeal_id=B.id AND A.appeal_type='Appeal'; advance_on_docket_motions belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
advance_on_docket_motions; legacy_appeals; ; n:m; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; advance_on_docket_motions belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
appeal_views; appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='Appeal'; appeal_views belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
appeal_views; legacy_appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; appeal_views belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
claims_folder_searches; appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='Appeal'; claims_folder_searches belongs to Appeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
claims_folder_searches; legacy_appeals; ; 1:n; A.appeal_id=B.id AND A.appeal_type='LegacyAppeal'; claims_folder_searches belongs to LegacyAppeal; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
end_product_establishments; decision_documents; ; 1:n; A.source_id=B.id AND A.source_type='DecisionDocument'; end_product_establishments belongs to DecisionDocument; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
end_product_establishments; supplemental_claims; ; 1:n; A.source_id=B.id AND A.source_type='SupplementalClaim'; end_product_establishments belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
end_product_establishments; higher_level_reviews; ; 1:n; A.source_id=B.id AND A.source_type='HigherLevelReview'; end_product_establishments belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
end_product_establishments; ramp_elections; ; n:m; A.source_id=B.id AND A.source_type='RampElection'; end_product_establishments belongs to RampElection; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
end_product_establishments; ramp_refilings; ; n:m; A.source_id=B.id AND A.source_type='RampRefiling'; end_product_establishments belongs to RampRefiling; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
end_product_updates; supplemental_claims; ; n:m; A.original_decision_review_id=B.id AND A.original_decision_review_type='SupplementalClaim'; end_product_updates belongs to SupplementalClaim; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
end_product_updates; higher_level_reviews; ; n:m; A.original_decision_review_id=B.id AND A.original_decision_review_type='HigherLevelReview'; end_product_updates belongs to HigherLevelReview; Autogenerated by 'rake doc:belongs_to:jailer_polymorphic_associations'
